"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141014,92500,10.09,76,1736489,1721,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,681,562,879,1519,1286,759,1543,977,806,1005
"sz",1,20141014,93000,10.09,2,73657,73,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,681,562,889,1520,1326,711,1543,1027,926,1018
"sz",1,20141014,93002,10.08,56,1486984,1475,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,642,2140,2238,3230,901,1213,1021,1704,808,1248
"sz",1,20141014,93006,10.08,1,4032,4,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,642,2140,2238,3250,891,1214,1021,1704,808,1248
"sz",1,20141014,93012,10.07,1,3021,3,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,639,2140,2338,3250,891,1320,1021,1704,808,1348
"sz",1,20141014,93017,10.08,2,46337,46,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,608,2127,2338,3250,891,1305,1021,1673,808,1348
"sz",1,20141014,93027,10.08,11,365670,363,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,389,2127,2338,3250,911,1224,1021,1673,808,1348
"sz",1,20141014,93030,10.07,3,138966,138,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,324,2127,2338,3250,925,1224,1021,1673,858,1348
"sz",1,20141014,93033,10.08,2,13104,13,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,424,2127,2338,3250,925,1231,1021,1673,858,1348
"sz",1,20141014,93039,10.08,1,2016,2,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,959,2127,2343,3262,925,1229,1021,1723,868,1398
"sz",1,20141014,93042,10.07,3,20140,20,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1454,2137,2348,3262,925,1346,1021,1723,868,1398
"sz",1,20141014,93044,10.07,6,57418,57,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1416,2137,2348,3262,925,1327,1021,1723,868,1398
"sz",1,20141014,93048,10.08,1,12096,12,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1434,2134,2408,3262,925,1315,1021,1723,868,1398
"sz",1,20141014,93051,10.08,3,7051,7,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1429,2134,2408,3262,928,1313,1021,1723,1006,1404
"sz",1,20141014,93054,10.07,3,80560,80,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1349,2134,2408,3272,928,1313,1021,1723,1006,1404
"sz",1,20141014,93058,10.07,3,95665,95,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1254,2134,2388,3272,938,1206,991,1623,1006,1404
"sz",1,20141014,93103,10.08,2,57456,57,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1259,2134,2398,3307,938,1149,991,1623,1006,1404
"sz",1,20141014,93106,10.08,5,206640,205,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1264,2144,2403,3307,938,944,991,1623,1006,1404
"sz",1,20141014,93109,10.08,1,10080,10,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1264,2144,2403,3307,938,934,991,1623,1006,1404
"sz",1,20141014,93112,10.07,4,83661,83,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1273,2144,2403,3307,938,854,991,1946,1006,1404
"sz",1,20141014,93115,10.08,3,101808,101,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1323,2144,2403,3307,938,753,1186,1946,1006,1404
"sz",1,20141014,93118,10.08,1,1008,1,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1323,2144,2403,3317,938,732,1215,1946,1006,1404
"sz",1,20141014,93121,10.08,8,186476,185,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1493,2144,2403,3317,938,551,1187,1946,1006,1404
"sz",1,20141014,93124,10.07,5,49574,49,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1573,2144,2403,3321,938,521,992,1946,1006,1404
"sz",1,20141014,93126,10.08,3,48374,48,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1563,2144,2405,3321,948,483,992,1946,1006,1404
"sz",1,20141014,93130,10.08,3,68939,69,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1565,2144,2447,3321,948,423,992,1946,1006,1404
"sz",1,20141014,93135,10.07,1,40280,40,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1525,2144,2449,3319,998,423,992,1956,1006,1404
"sz",1,20141014,93139,10.08,1,2016,2,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1545,2144,2449,3324,1000,421,992,1956,1006,1404
"sz",1,20141014,93141,10.07,3,42306,42,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1421,2144,2739,3324,1000,409,992,1956,1006,1404
"sz",1,20141014,93148,10.08,1,1008,1,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1508,2238,2739,3324,1000,436,992,1981,1006,1404
"sz",1,20141014,93151,10.08,1,16128,16,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1508,2238,2749,3324,1000,420,992,1991,1006,1404
"sz",1,20141014,93154,10.07,6,245942,244,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1498,2238,2749,3324,1000,186,992,1991,1006,1404
"sz",1,20141014,93157,10.08,12,339344,336,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,27,1349,2253,2767,3324,992,1991,868,1404,1775
"sz",1,20141014,93202,10.08,2,29232,29,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,228,1354,2273,2772,3329,963,1991,1038,1404,1775
"sz",1,20141014,93205,10.08,4,70560,70,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,599,1354,2723,2772,3332,963,1991,1038,1404,1775
"sz",1,20141014,93212,10.09,1,2018,2,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,741,1364,2723,2822,3332,961,1991,1048,1404,1777
"sz",1,20141014,93221,10.08,2,54432,54,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,746,1379,2728,2872,3337,1310,2057,1108,1404,1777
"sz",1,20141014,93223,10.08,14,800597,795,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1479,2728,2872,3337,2015,259,1267,2057,1108,1404
"sz",1,20141014,93227,10.08,1,5040,5,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1479,2728,2918,3340,2015,274,1267,2147,938,1404
"sz",1,20141014,93230,10.08,2,25200,25,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1479,2728,2918,3340,2015,335,1267,2152,938,1404
"sz",1,20141014,93239,10.08,2,21168,21,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1579,2718,2923,3382,2019,352,1296,2152,938,1411
"sz",1,20141014,93242,10.07,4,131922,131,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1550,2723,2923,3382,2019,347,1286,2152,938,1411
"sz",1,20141014,93256,10.07,2,101938,101,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1497,2741,2943,3382,2059,376,1287,2105,1218,1411
"sz",1,20141014,93300,10.08,2,93744,93,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1497,2744,2943,3382,2045,1321,1123,2105,1218,1411
"sz",1,20141014,93301,10.08,4,50395,50,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1507,2744,2943,3382,2045,1326,1123,2105,1038,1411
"sz",1,20141014,93309,10.07,3,35255,35,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1600,2754,2943,3412,2041,1316,1123,2105,1038,1411
"sz",1,20141014,93312,10.08,5,160262,159,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1606,2764,2943,3412,2053,1177,1108,2105,1038,1411
"sz",1,20141014,93314,10.08,1,10080,10,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1612,2764,2953,3412,2053,1167,1108,2105,1038,1411
"sz",1,20141014,93321,10.07,1,11077,11,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1642,2784,2953,3412,2053,1196,1254,2105,1038,1411
"sz",1,20141014,93324,10.07,1,2014,2,"S",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1640,2834,2953,3412,2053,1199,1254,2105,1038,1411
"sz",1,20141014,93333,10.08,2,3024,3,"B",10.07,10.06,10.05,10.04,10.03,10.08,10.09,10.1,10.11,10.12,1688,3109,2993,3418,2253,1199,1254,2105,1038,1411
