"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141017,92500,10.2,214,5485560,5378,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,81,1798,189,1170,1135,4104,2792,327,414,1642
"sz",1,20141017,93000,10.2,31,789849,775,"B",10.18,10.17,10.16,10.15,10.14,10.2,10.21,10.22,10.23,10.24,1671,199,1229,1150,921,3848,2742,326,414,1642
"sz",1,20141017,93004,10.19,127,6413346,6290,"S",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,355,918,1449,1510,1503,890,2734,609,3524,1764
"sz",1,20141017,93007,10.2,1,23460,23,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,355,918,1469,1510,1503,867,2734,609,3524,1764
"sz",1,20141017,93010,10.2,7,167280,164,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,355,918,1469,1510,1503,753,2734,638,3524,1814
"sz",1,20141017,93013,10.2,10,239700,235,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,355,918,1534,1510,1503,518,2734,638,3524,1814
"sz",1,20141017,93016,10.2,9,221219,217,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,236,1128,1534,1548,1503,422,2733,638,3524,1814
"sz",1,20141017,93018,10.2,7,248762,244,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,118,1128,1534,1548,1503,296,2733,638,3524,1814
"sz",1,20141017,93021,10.2,6,139740,137,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,118,1128,1534,1568,1503,170,2726,638,3524,1814
"sz",1,20141017,93025,10.2,7,38760,38,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,118,1128,1534,1568,1503,132,2726,638,3524,1814
"sz",1,20141017,93027,10.21,13,310252,304,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,109,118,1128,1534,1568,2554,638,3524,1814,755
"sz",1,20141017,93031,10.2,1,10200,10,"S",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,109,138,1128,1534,1568,2554,638,3524,1814,755
"sz",1,20141017,93033,10.2,5,149907,147,"S",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,105,1128,1534,1668,1509,186,2554,638,3524,1814
"sz",1,20141017,93036,10.2,2,220320,216,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,268,115,1138,1534,1678,2554,633,3524,1814,755
"sz",1,20141017,93040,10.21,11,329631,323,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,294,115,1138,1534,1678,2383,633,3524,1814,755
"sz",1,20141017,93042,10.21,8,245040,240,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,314,125,1153,1534,1678,2143,633,4085,1814,755
"sz",1,20141017,93045,10.21,6,135773,133,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,301,165,1153,1534,2688,2030,583,4085,1814,755
"sz",1,20141017,93049,10.21,11,355172,348,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,385,185,1163,1534,2654,1818,583,4085,1814,755
"sz",1,20141017,93051,10.21,19,753989,739,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,200,1163,1534,2654,1514,200,1609,583,4085,1814
"sz",1,20141017,93054,10.2,4,108120,106,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,200,1169,1534,2654,1510,125,1609,588,4085,1814
"sz",1,20141017,93056,10.21,5,237768,233,"B",10.19,10.18,10.17,10.16,10.15,10.2,10.21,10.22,10.23,10.24,280,1179,1534,2654,1510,20,1501,588,4085,1814
"sz",1,20141017,93100,10.21,7,77526,76,"B",10.19,10.18,10.17,10.16,10.15,10.21,10.22,10.23,10.24,10.25,1754,2179,1534,2654,1510,1496,588,4085,1814,755
"sz",1,20141017,93103,10.21,4,246062,241,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,47,2788,2179,1539,2654,1255,588,4085,1814,785
"sz",1,20141017,93106,10.21,4,60224,59,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,152,3108,2179,1539,2654,1217,588,4085,1814,785
"sz",1,20141017,93109,10.21,3,62276,61,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,168,3265,2184,1539,2658,1194,588,4085,1814,785
"sz",1,20141017,93112,10.21,4,113330,111,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,178,3375,2184,1539,2658,1083,608,4085,1814,775
"sz",1,20141017,93116,10.21,6,114718,113,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,147,3498,2189,1539,2658,1013,3360,4085,1814,775
"sz",1,20141017,93118,10.21,16,427130,418,"B",10.19,10.18,10.17,10.16,10.15,10.21,10.22,10.23,10.24,10.25,3498,2189,1539,2628,1510,903,3397,4085,1814,775
"sz",1,20141017,93122,10.19,2,30576,30,"S",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,275,3514,2263,1549,2628,903,3447,4085,1814,775
"sz",1,20141017,93125,10.21,8,401230,393,"B",10.2,10.19,10.18,10.17,10.16,10.21,10.22,10.23,10.24,10.25,305,3514,2247,1618,2608,542,3447,4085,1814,775
