"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141015,92500,10.11,45,1238475,1225,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,252,383,1077,1548,1296,302,1115,522,263,415
"sz",1,20141015,93000,10.11,1,25275,25,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,252,383,1077,1548,1296,469,1115,522,263,415
"sz",1,20141015,93003,10.1,52,1018419,1008,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,750,690,2302,1713,1854,736,1174,736,540,671
"sz",1,20141015,93009,10.1,2,2020,2,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,748,1142,2302,1713,1864,786,1174,736,540,671
"sz",1,20141015,93011,10.1,1,1010,1,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,747,1142,2302,1713,1864,786,1174,736,540,671
"sz",1,20141015,93015,10.11,2,20362,20,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,746,1142,2305,1722,1864,766,1174,736,540,671
"sz",1,20141015,93020,10.1,2,6060,6,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,740,1142,2318,1722,1874,1676,1178,736,540,671
"sz",1,20141015,93024,10.1,4,51510,51,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,689,1142,2018,1722,1874,1676,1177,736,540,671
"sz",1,20141015,93027,10.1,2,23230,23,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,759,1142,2018,1728,1874,1676,1177,736,540,671
"sz",1,20141015,93029,10.1,3,24250,24,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,745,1142,2018,1728,1874,1666,1178,736,540,671
"sz",1,20141015,93032,10.11,6,178946,177,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,744,1142,2018,1919,1874,1490,1178,736,540,691
"sz",1,20141015,93035,10.1,2,5050,5,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,739,1142,2018,1923,1874,1532,941,736,540,691
"sz",1,20141015,93039,10.1,4,28302,28,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,733,1142,2018,1923,1894,1510,940,736,540,718
"sz",1,20141015,93048,10.1,2,1232,1,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,886,1142,2018,1923,1894,1535,906,736,540,718
"sz",1,20141015,93049,10.1,1,13402,14,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,873,1142,2018,1923,1894,1535,906,736,540,718
"sz",1,20141015,93053,10.1,1,239370,237,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,636,1142,2028,1923,1914,1535,905,736,540,718
"sz",1,20141015,93056,10.11,2,90989,90,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,720,1142,2028,1923,1914,1446,906,736,540,718
"sz",1,20141015,93059,10.1,1,35350,35,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,685,1142,2028,1923,1914,1446,906,736,540,718
"sz",1,20141015,93103,10.1,3,30300,30,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,655,1142,2028,1923,1914,1446,906,736,540,738
"sz",1,20141015,93105,10.1,1,1010,1,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,749,1147,2028,1923,1914,1446,906,736,540,738
"sz",1,20141015,93109,10.1,2,1142,1,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,748,1152,2028,1923,1914,1445,905,736,540,738
"sz",1,20141015,93112,10.11,2,55580,55,"B",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,723,1152,2028,1923,1914,1420,951,736,540,738
"sz",1,20141015,93115,10.11,11,1436429,1421,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,869,733,1252,2028,1923,951,736,540,738,468
"sz",1,20141015,93118,10.11,1,6066,6,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,863,691,1252,2028,1923,951,737,540,738,468
"sz",1,20141015,93121,10.11,2,14154,14,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,849,741,1252,2028,1923,951,737,540,738,468
"sz",1,20141015,93123,10.11,1,1011,1,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,935,841,1252,2028,1933,951,737,540,738,468
"sz",1,20141015,93126,10.11,2,22242,22,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,950,767,1252,2028,1933,951,744,540,738,468
"sz",1,20141015,93129,10.11,2,56616,56,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,894,842,1252,2028,1933,951,744,540,738,468
"sz",1,20141015,93133,10.11,1,36396,36,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,883,842,1252,2068,1933,951,744,538,738,468
"sz",1,20141015,93136,10.11,3,8088,8,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,875,877,1452,2068,1923,923,744,538,738,468
"sz",1,20141015,93139,10.11,2,1224,1,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,874,908,1452,2068,1923,877,744,538,738,450
"sz",1,20141015,93142,10.12,1,3036,3,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,874,908,1452,2068,1948,874,744,538,738,450
"sz",1,20141015,93144,10.11,2,29319,29,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,865,916,1452,2068,1948,874,744,538,738,450
"sz",1,20141015,93148,10.11,4,131299,130,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,807,916,1452,2068,1948,833,744,538,738,450
"sz",1,20141015,93151,10.11,1,15660,15,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,891,926,1452,2068,1948,833,744,538,738,460
"sz",1,20141015,93154,10.11,3,38443,38,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1086,926,1452,2068,1948,808,744,538,738,460
"sz",1,20141015,93200,10.12,2,9107,9,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1085,928,1454,2073,1948,800,944,538,748,460
"sz",1,20141015,93203,10.12,2,7082,7,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1083,928,1454,2073,1948,884,944,538,748,460
"sz",1,20141015,93209,10.11,1,1011,1,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1082,964,1454,2073,1948,888,944,538,748,470
"sz",1,20141015,93212,10.12,7,179124,177,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1082,984,1449,2073,1948,711,944,538,748,470
