"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141013,92500,10.12,155,2371116,2343,"B",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1134,3017,930,1620,267,418,86,291,1076,2408
"sz",1,20141013,93001,10.12,80,886082,876,"B",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,577,1378,3625,1402,1945,147,870,808,2995,1407
"sz",1,20141013,93003,10.12,39,634208,626,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,482,1662,3532,1997,2455,494,1575,833,3027,1437
"sz",1,20141013,93009,10.12,1,1012,1,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,482,1668,3581,1997,2455,495,1576,833,3027,1437
"sz",1,20141013,93013,10.12,5,352176,348,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,134,1668,3581,1997,2455,495,1576,833,3027,1437
"sz",1,20141013,93022,10.12,11,71184,71,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,91,1673,3551,2008,2607,495,1640,838,3037,1437
"sz",1,20141013,93025,10.13,2,11133,11,"B",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,81,1673,3551,2023,2617,494,1639,838,3037,1437
"sz",1,20141013,93027,10.13,3,22966,22,"B",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,145,1673,3551,2026,2617,480,1639,868,3087,1437
"sz",1,20141013,93030,10.12,17,112332,111,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,39,1670,3517,2026,2617,480,1720,888,3087,1437
"sz",1,20141013,93034,10.12,5,61378,61,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,0,1675,3537,2025,2617,480,1705,888,3087,1437
"sz",1,20141013,93037,10.12,5,41491,41,"S",10.12,10.11,10.1,10.09,10.08,10.13,10.14,10.15,10.16,10.17,102,1785,3587,2025,2619,480,1705,888,3087,1437
"sz",1,20141013,93040,10.12,4,134536,133,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1785,3587,2025,2619,1006,221,480,1704,908,3087
"sz",1,20141013,93046,10.11,1,1011,1,"S",10.11,10.1,10.09,10.08,10.07,10.12,10.13,10.14,10.15,10.16,1784,3587,2025,2619,1006,322,480,1704,911,3077
