"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141010,92500,10.16,197,2952496,2906,"S",10.16,10.15,10.14,10.13,10.12,10.17,10.18,10.19,10.2,10.21,182,1228,646,572,831,147,1046,349,1432,1177
"sz",1,20141010,93000,10.17,54,1014501,999,"B",10.16,10.15,10.14,10.13,10.12,10.17,10.18,10.19,10.2,10.21,83,1274,954,667,941,115,886,995,1015,1987
"sz",1,20141010,93003,10.16,107,1705777,1679,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,1703,1533,984,2664,1529,672,212,905,1055,1199
"sz",1,20141010,93006,10.16,1,4064,4,"B",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,1691,1533,984,2674,1579,1733,235,906,1055,1199
"sz",1,20141010,93008,10.15,3,78155,77,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,1634,1535,984,2674,1579,1733,255,906,1055,1199
"sz",1,20141010,93012,10.15,13,174580,172,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,1454,1535,984,2674,1579,1841,255,906,1055,1199
"sz",1,20141010,93015,10.15,14,534905,527,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,932,1735,984,2724,1579,1913,255,905,1055,1199
"sz",1,20141010,93017,10.15,29,761280,750,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,213,1735,984,2724,1579,1883,255,905,1055,1199
"sz",1,20141010,93021,10.15,1,37555,37,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,176,1735,984,2724,1779,1888,255,905,1055,1199
"sz",1,20141010,93024,10.15,9,190822,188,"S",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1724,994,2724,1779,5827,14,1886,255,905,1554
"sz",1,20141010,93027,10.15,8,90335,89,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1734,1004,2724,1779,5827,3,1886,255,905,1604
"sz",1,20141010,93030,10.15,8,54791,54,"B",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,1,1715,1017,2724,1799,1886,255,905,1604,1199
"sz",1,20141010,93033,10.15,8,112606,111,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,369,1631,1017,2724,1799,1881,255,905,1604,1219
"sz",1,20141010,93036,10.16,6,140075,138,"B",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,248,1641,1017,2724,1809,1862,255,905,1604,1219
"sz",1,20141010,93039,10.15,11,283063,279,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,9,1661,1037,2624,1809,1862,255,905,1604,1219
"sz",1,20141010,93042,10.15,2,2030,2,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,7,1671,1037,2629,1809,1852,263,930,1604,1219
"sz",1,20141010,93045,10.15,3,24482,24,"S",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1671,1037,2629,1813,6372,51,1852,263,930,1604
"sz",1,20141010,93048,10.15,3,16240,16,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1711,1047,2629,1833,6411,246,1823,263,930,1604
"sz",1,20141010,93051,10.15,10,422240,416,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1711,1047,2629,1833,6431,100,1823,263,930,1604
"sz",1,20141010,93054,10.15,1,10150,10,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1713,1147,2629,1833,6444,105,2123,263,930,1604
"sz",1,20141010,93057,10.15,1,1015,1,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1723,1163,2629,1838,6444,154,2123,263,930,1604
"sz",1,20141010,93100,10.14,12,158244,156,"S",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1652,1183,2629,1840,6444,149,2073,258,930,1629
"sz",1,20141010,93103,10.16,20,496300,489,"B",10.14,10.13,10.12,10.11,10.1,10.15,10.16,10.17,10.18,10.19,1635,1183,2639,1840,6451,6,2056,258,930,1629
"sz",1,20141010,93106,10.15,6,61885,61,"B",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,274,1605,1183,2662,1865,2056,258,930,1629,1224
"sz",1,20141010,93112,10.15,4,299059,295,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,21,1667,1196,2633,2277,1949,258,930,1629,1251
"sz",1,20141010,93115,10.15,2,3047,3,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,177,1685,1196,2633,2277,1947,258,930,1629,1251
"sz",1,20141010,93118,10.15,6,39585,39,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,500,1685,1196,2623,2277,1947,258,930,1629,1251
"sz",1,20141010,93121,10.15,3,10150,10,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,491,1795,1203,2623,2277,1946,253,930,1629,1256
"sz",1,20141010,93124,10.15,3,46690,46,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,604,1977,1222,2623,2313,1930,323,930,1639,1256
"sz",1,20141010,93130,10.15,1,23345,23,"S",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,704,2019,1287,2641,2318,1930,323,940,1670,1256
"sz",1,20141010,93136,10.16,1,2032,2,"B",10.15,10.14,10.13,10.12,10.11,10.16,10.17,10.18,10.19,10.2,720,2052,1724,2651,2336,1952,323,945,1831,1257
