"market","ticker","date","time","trade_price","number_of_trades","trade_money","trade_volume","direction","buy1_price","buy2_price","buy3_price","buy4_price","buy5_price","sell1_price","sell2_price","sell3_price","sell4_price","sell5_price","buy1_quantity","buy2_quantity","buy3_quantity","buy4_quantity","buy5_quantity","sell1_quantity","sell2_quantity","sell3_quantity","sell4_quantity","sell5_quantity"
"sz",1,20141016,92500,10.1,172,5606348,5551,"S",10.1,10.09,10.08,10.07,10.06,10.11,10.12,10.13,10.14,10.15,49,264,717,458,1085,292,1002,2977,1522,1295
"sz",1,20141016,93000,10.1,4,49652,49,"S",10.09,10.08,10.07,10.06,10.05,10.1,10.11,10.12,10.13,10.14,264,717,458,1085,1516,317,292,1060,2542,1522
"sz",1,20141016,93003,10.08,73,1695025,1680,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1045,2993,1989,5319,1113,586,4489,2224,1844,1258
"sz",1,20141016,93006,10.08,3,3024,3,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1042,2993,1989,5319,1113,586,4489,2224,1844,1258
"sz",1,20141016,93009,10.08,5,24212,24,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1038,3110,1989,5319,1113,586,4489,2223,1843,1258
"sz",1,20141016,93012,10.09,2,12107,12,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1037,3120,1989,5344,1113,575,4411,2723,1843,1258
"sz",1,20141016,93015,10.09,1,30270,30,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1047,3120,1989,5344,1113,546,4402,2723,1843,1258
"sz",1,20141016,93018,10.08,12,264096,262,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,785,3120,1989,5384,1113,546,4326,2718,1843,1258
"sz",1,20141016,93021,10.08,16,344536,342,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,455,3125,1989,5394,1121,544,4306,2615,1843,1310
"sz",1,20141016,93024,10.09,7,26232,26,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,453,3125,2162,5394,1141,619,4305,2615,1843,1310
"sz",1,20141016,93027,10.08,6,77637,77,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,403,3125,2162,5394,1141,598,4295,2615,1843,1310
"sz",1,20141016,93029,10.08,4,187488,186,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,217,3125,2162,5394,1141,598,4296,2615,1843,1310
"sz",1,20141016,93033,10.08,3,43344,43,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,674,3125,2167,5394,1151,599,4296,3253,1743,1310
"sz",1,20141016,93036,10.08,14,361875,359,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,818,3125,2167,5394,1151,606,4340,3253,1743,1310
"sz",1,20141016,93038,10.09,3,30241,30,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1139,3125,2187,5394,1151,611,4295,3253,1743,1310
"sz",1,20141016,93042,10.08,2,2017,2,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1240,3125,2197,5394,1171,610,4290,3253,1723,1310
"sz",1,20141016,93045,10.09,9,85739,85,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1218,3145,2197,5386,1171,551,4217,3253,1723,1310
"sz",1,20141016,93047,10.08,3,25203,25,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1196,3145,2197,5405,1171,548,4217,3253,1713,1310
"sz",1,20141016,93051,10.09,8,177421,176,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1083,3145,2227,5405,1171,535,4214,3253,1713,1310
"sz",1,20141016,93054,10.09,3,12107,12,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1186,3165,2227,5405,1171,774,4093,3253,1713,1330
"sz",1,20141016,93057,10.08,5,41341,41,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1243,3155,2227,5405,1171,791,4093,3235,1613,1330
"sz",1,20141016,93100,10.09,9,32473,32,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1231,3155,2327,5435,1171,786,4093,3235,1613,1330
"sz",1,20141016,93103,10.09,2,18162,18,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1261,3185,2327,5495,1171,768,3844,3232,1613,1330
"sz",1,20141016,93106,10.08,6,125002,124,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1197,3186,2327,5495,1171,863,3844,3232,1643,1330
"sz",1,20141016,93108,10.08,6,129061,128,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1206,3186,2327,5477,1221,832,3843,3232,1643,1330
"sz",1,20141016,93112,10.09,6,70620,70,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1196,3186,2340,5475,1221,875,3791,3232,1643,1330
"sz",1,20141016,93115,10.09,5,43357,43,"B",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1261,3186,2354,5475,1221,962,3720,3232,1643,1330
"sz",1,20141016,93118,10.08,6,42340,42,"S",10.08,10.07,10.06,10.05,10.04,10.09,10.1,10.11,10.12,10.13,1300,3186,2354,5528,1221,958,3720,3232,1626,1330
